fault_id,fault_timestamp,fault_code,fault_description,fault_category,network_type,equipment_type,location,severity,customer_impact,customers_affected,service_calls_generated,resolution_timestamp,resolution_time_hours,first_time_fix,technician_type_required,estimated_revenue_impact,priority_score
F000255,2025-07-02T18:21:02.289013,150.4,Multiple customer complaints,Major,FIBER,Nokia 7750,Kolding,Medium,Moderate,334,43,2025-07-03T00:19:36.196000,5.98,False,General,31616.617709952105,0.4611894740738172
F000256,2025-08-19T10:44:51.858600,100.1,Routine maintenance alert,Minor,COAX,Cisco cBR-8,Roskilde,Low,Minimal,27,5,2025-08-19T13:20:37.477847,2.6,True,General,1039.5927021509597,0.3972309836503154
F000257,2025-07-08T22:03:28.032765,100.1,Signal level deviation,Minor,FIBER,Juniper MX960,Horsens,Low,Minimal,17,1,2025-07-09T00:44:18.899898,2.68,True,General,991.4157410256252,0.28779530044892665
F000258,2025-08-22T20:51:31.367251,200.2,Routine maintenance alert,Minor,FIBER,Juniper MX960,Silkeborg,Low,Minimal,45,1,2025-08-22T23:26:44.892409,2.59,True,General,3171.4998675502793,0.8672813532002541
F000259,2025-07-27T09:50:20.820094,800.3,High error rate on interface,Major,COAX,Casa C100G,Silkeborg,Medium,Moderate,355,36,2025-07-27T18:31:47.873242,8.69,False,General,17916.962706356797,0.4714208105919326
F000260,2025-08-31T05:31:12.770057,400.1,Routine maintenance alert,Minor,FIBER,Huawei MA5800,Silkeborg,Low,Minimal,34,4,2025-08-31T06:05:06.904154,0.57,True,General,894.5370571752009,0.5517048545715516
F000261,2025-07-27T20:59:48.958317,200.2,Low bandwidth utilization,Minor,COAX,Cisco cBR-8,Vejle,Low,Minimal,2,0,2025-07-28T00:00:48.934466,3.02,False,General,153.94591139731165,0.9251833341806383
F000262,2025-08-01T21:20:37.529514,200.2,Minor packet loss detected,Minor,FIBER,Huawei MA5800,Esbjerg South,Low,Minimal,37,2,2025-08-01T23:16:24.346799,1.93,False,General,2323.7178775823804,0.5702473328291376
F000263,2025-08-19T21:14:09.008385,200.2,Minor packet loss detected,Minor,COAX,Cisco cBR-8,Vejle,Low,Minimal,46,4,2025-08-19T23:57:51.602181,2.73,True,General,3507.587203096613,0.3942718823288245
F000264,2025-07-29T20:21:51.653790,500.3,Low bandwidth utilization,Minor,COAX,Casa C100G,Horsens,Low,Minimal,18,5,2025-07-30T00:18:37.447144,3.95,False,General,501.25660877633123,0.6236597582418608
F000265,2025-09-09T09:35:52.868363,150.4,Service degradation detected,Major,COAX,Harmonic CableOS,Silkeborg,Medium,Moderate,131,24,2025-09-09T16:26:39.243168,6.85,False,General,4671.31615880772,0.7510644522475317
F000266,2025-09-06T14:09:28.791600,900.1,Power supply fluctuation,Major,FIBER,Cisco ASR9000,Horsens,Medium,Moderate,440,21,2025-09-06T18:46:11.340509,4.61,False,General,15057.163520451739,0.5857116588051059
F000267,2025-07-23T17:00:57.866061,300.5,Routine maintenance alert,Minor,FIBER,Nokia 7750,Aalborg East,Low,Minimal,12,3,2025-07-23T18:05:03.151342,1.07,False,General,754.0293489378362,0.3051813167302539
F000268,2025-09-09T12:03:03.247086,200.2,Low bandwidth utilization,Minor,FIBER,Huawei MA5800,Aarhus North,Low,Minimal,24,1,2025-09-09T15:36:29.936244,3.56,True,General,1296.2144445782214,0.4843130844267226
F000269,2025-09-13T03:25:13.532786,815.5,Coax cable degradation,Cable Fault,COAX,Casa C100G,Vejle,High,Severe,3491,144,2025-09-14T05:55:45.768932,26.51,False,Specialist,87249.06736730326,0.9824152434760705
F000270,2025-09-11T03:51:27.155230,500.3,Routine maintenance alert,Minor,COAX,Arris E6000,Odense West,Low,Minimal,4,2,2025-09-11T05:06:17.237367,1.25,True,General,92.12191774778474,0.9041164591692205
F000271,2025-09-13T03:19:24.376729,300.5,Configuration drift,Minor,COAX,Cisco cBR-8,Vejle,Low,Minimal,21,0,2025-09-13T05:40:57.708988,2.36,True,General,274.22835313135727,0.8937209850146107
F000272,2025-09-27T05:02:47.980964,100.1,Configuration drift,Minor,COAX,Harmonic CableOS,Vejle,Low,Minimal,19,3,2025-09-27T07:40:48.361443,2.63,True,General,764.1712224734667,0.5895008950043144
F000273,2025-08-19T12:04:05.360254,100.1,Minor packet loss detected,Minor,FIBER,Nokia 7750,Esbjerg South,Low,Minimal,37,0,2025-08-19T15:19:53.945083,3.26,False,General,1586.3587214461725,0.5130499868382417
F000274,2025-07-06T21:50:04.677863,200.2,Signal level deviation,Minor,COAX,Arris E6000,Silkeborg,Low,Minimal,4,0,2025-07-06T22:48:01.791949,0.97,True,General,324.5349726506785,0.6344260283779559
F000275,2025-07-28T02:34:36.171296,600.1,Service degradation detected,Major,COAX,Harmonic CableOS,Silkeborg,Medium,Moderate,477,15,2025-07-28T11:04:54.594564,8.51,False,General,35779.55970636373,0.6886433364329687
F000276,2025-09-08T14:20:20.061277,200.2,Configuration drift,Minor,FIBER,Nokia 7750,Silkeborg,Low,Minimal,46,3,2025-09-08T15:44:05.098197,1.4,True,General,4307.7698501229515,0.7995772381537186
F000277,2025-07-31T13:28:33.814885,200.2,Configuration drift,Minor,COAX,Harmonic CableOS,Aarhus North,Low,Minimal,5,4,2025-07-31T15:34:34.670412,2.1,True,General,276.10852528990034,0.4658381515309018
F000278,2025-08-17T07:51:37.221073,900.1,Multiple customer complaints,Major,FIBER,Huawei MA5800,Roskilde,Medium,Moderate,284,13,2025-08-17T11:23:52.585286,3.54,True,General,3710.090113188684,0.4298270613724466
F000279,2025-07-02T21:55:54.658744,200.2,Low bandwidth utilization,Minor,COAX,Harmonic CableOS,Copenhagen Central,Low,Minimal,39,3,2025-07-03T00:21:03.906778,2.42,False,General,3000.620082793305,0.9721314530656764
F000280,2025-07-29T02:17:46.843388,814.2,Fiber break in main trunk,Cable Fault,COAX,Casa C100G,Vejle,High,Severe,2381,490,2025-07-31T00:50:12.812523,46.54,False,Specialist,49426.30282718356,0.9082755190265872
F000281,2025-09-06T07:44:27.129915,800.3,Temperature threshold exceeded,Major,COAX,Casa C100G,Copenhagen Central,Medium,Moderate,347,46,2025-09-06T19:27:36.940747,11.72,True,General,27420.385931836918,0.5669505492507421
F000282,2025-09-11T11:19:13.142688,200.2,Routine maintenance alert,Minor,FIBER,Juniper MX960,Kolding,Low,Minimal,36,4,2025-09-11T13:46:49.312200,2.46,False,General,1933.4363766115162,0.2366415182296568
F000283,2025-09-18T20:27:31.437696,100.1,Signal level deviation,Minor,COAX,Casa C100G,Roskilde,Low,Minimal,41,4,2025-09-19T00:22:58.894626,3.92,True,General,2492.9662959169323,0.305518031432385
F000284,2025-09-10T21:33:50.557855,700.2,Temperature threshold exceeded,Major,FIBER,Cisco ASR9000,Aalborg East,Medium,Moderate,242,24,2025-09-11T03:40:24.838190,6.11,False,General,7644.5188680003175,0.4647400759173058
F000285,2025-08-11T14:30:53.667400,300.5,Minor packet loss detected,Minor,COAX,Arris E6000,Odense West,Low,Minimal,42,5,2025-08-11T15:34:16.480034,1.06,True,General,1935.4829788639522,0.9447611348799118
F000286,2025-07-17T12:14:14.482888,100.1,Low bandwidth utilization,Minor,COAX,Harmonic CableOS,Aalborg East,Low,Minimal,29,1,2025-07-17T15:05:00.982454,2.85,False,General,1095.5988139332949,0.25000587266223817
F000287,2025-07-31T01:21:12.081324,300.5,Configuration drift,Minor,FIBER,Juniper MX960,Vejle,Low,Minimal,19,3,2025-07-31T02:50:06.054635,1.48,True,General,1515.4194209714835,0.8265344939077659
F000288,2025-07-01T17:17:15.249436,100.1,Routine maintenance alert,Minor,FIBER,Huawei MA5800,Copenhagen Central,Low,Minimal,31,1,2025-07-01T17:50:31.141272,0.55,True,General,510.4637364416582,0.7684117564259324
F000289,2025-08-07T02:43:40.955634,300.5,Signal level deviation,Minor,COAX,Harmonic CableOS,Copenhagen Central,Low,Minimal,3,1,2025-08-07T04:47:00.118950,2.06,True,General,221.95302026874901,0.13640686703616928
F000290,2025-07-11T14:03:59.026556,500.3,Configuration drift,Minor,FIBER,Cisco ASR9000,Kolding,Low,Minimal,37,4,2025-07-11T16:40:15.106015,2.6,False,General,1006.0405507404523,0.7398535797450614
F000291,2025-08-23T06:47:32.806063,800.3,High error rate on interface,Major,COAX,Arris E6000,Aarhus North,Medium,Moderate,192,28,2025-08-23T13:11:07.953859,6.39,False,General,5999.764097050289,0.7303554288463415
F000292,2025-08-28T18:50:28.804476,800.3,Temperature threshold exceeded,Major,COAX,Casa C100G,Silkeborg,Medium,Moderate,367,19,2025-08-29T02:46:05.911445,7.93,False,General,11853.917641340868,0.5755478828460898
F000293,2025-07-11T00:10:34.403006,700.2,Temperature threshold exceeded,Major,FIBER,Juniper MX960,Horsens,Medium,Moderate,388,37,2025-07-11T11:44:40.269889,11.57,False,General,27906.44724725464,0.7587011994500462
F000294,2025-09-08T10:49:26.367650,500.3,Minor packet loss detected,Minor,FIBER,Juniper MX960,Copenhagen Central,Low,Minimal,4,5,2025-09-08T12:25:47.728146,1.61,False,General,87.11911964205456,0.2843665500774327
F000295,2025-07-25T13:32:24.553057,300.5,Minor packet loss detected,Minor,COAX,Cisco cBR-8,Silkeborg,Low,Minimal,13,1,2025-07-25T16:11:04.323440,2.64,True,General,771.0660590728334,0.2891198094654339
F000296,2025-07-14T00:22:53.730333,200.2,Low bandwidth utilization,Minor,FIBER,Juniper MX960,Aarhus North,Low,Minimal,8,5,2025-07-14T03:19:54.135913,2.95,False,General,177.00160789961177,0.8525589658841168
F000297,2025-08-26T02:17:12.753071,400.1,Low bandwidth utilization,Minor,FIBER,Huawei MA5800,Esbjerg South,Low,Minimal,44,2,2025-08-26T03:08:25.010303,0.85,True,General,1557.394314117138,0.9127741028666665
F000298,2025-07-06T09:11:36.018937,200.2,Signal level deviation,Minor,FIBER,Cisco ASR9000,Horsens,Low,Minimal,36,0,2025-07-06T12:12:15.591762,3.01,False,General,3304.168341594948,0.8819458956487394
F000299,2025-07-19T03:13:17.081012,815.5,Aerial cable fault,Cable Fault,COAX,Arris E6000,Vejle,High,Severe,4962,247,2025-07-19T12:18:04.958567,9.08,True,Specialist,461555.26586938027,0.7943007903833763
F000300,2025-07-07T06:24:45.877697,100.1,Configuration drift,Minor,COAX,Casa C100G,Vejle,Low,Minimal,1,0,2025-07-07T10:03:44.350905,3.65,False,General,73.89638462574752,0.7525058956192474
F000301,2025-08-05T03:46:13.999708,900.1,Temperature threshold exceeded,Major,COAX,Cisco cBR-8,Roskilde,Medium,Moderate,140,13,2025-08-05T10:43:01.824203,6.95,False,General,4159.0936156751295,0.49659032705135864
F000302,2025-08-17T12:17:09.592969,900.1,High error rate on interface,Major,FIBER,Cisco ASR9000,Esbjerg South,Medium,Moderate,380,40,2025-08-17T17:46:47.638914,5.49,True,General,24446.39486445955,0.4688747614727253
F000303,2025-09-13T16:06:16.947368,800.3,Power supply fluctuation,Major,COAX,Cisco cBR-8,Odense West,Medium,Moderate,342,10,2025-09-14T00:31:27.811275,8.42,True,General,26687.112070319563,0.7982896001631516
F000304,2025-09-15T20:39:37.713863,815.5,Fiber break in main trunk,Cable Fault,FIBER,Nokia 7750,Odense West,High,Severe,2461,402,2025-09-16T10:06:41.133490,13.45,False,Specialist,113603.0225244488,0.8645338049779663
F000305,2025-08-18T14:14:43.654894,150.4,Multiple customer complaints,Major,COAX,Harmonic CableOS,Esbjerg South,Medium,Moderate,418,28,2025-08-18T18:38:05.467742,4.39,True,General,7731.303223781657,0.6656865074937479
F000306,2025-07-08T23:23:20.614943,300.5,Low bandwidth utilization,Minor,FIBER,Nokia 7750,Roskilde,Low,Minimal,42,1,2025-07-09T02:30:28.024400,3.12,True,General,3422.1647571141393,0.6782786591264144
F000307,2025-09-15T01:07:53.596497,300.5,Minor packet loss detected,Minor,COAX,Casa C100G,Roskilde,Low,Minimal,32,2,2025-09-15T02:12:11.301572,1.07,True,General,1009.4542777455499,0.9623626312950279
F000308,2025-08-26T16:33:50.019117,100.1,Signal level deviation,Minor,COAX,Cisco cBR-8,Esbjerg South,Low,Minimal,12,1,2025-08-26T19:27:07.612944,2.89,False,General,952.4190154127905,0.6714292873398714
F000309,2025-08-12T02:07:08.850728,700.2,Multiple customer complaints,Major,FIBER,Huawei MA5800,Kolding,Medium,Moderate,136,24,2025-08-12T06:47:24.931930,4.67,False,General,12809.236541382956,0.599821101738796
F000310,2025-09-19T22:56:15.469286,200.2,Routine maintenance alert,Minor,COAX,Arris E6000,Aarhus North,Low,Minimal,23,5,2025-09-20T01:12:45.808028,2.28,True,General,268.3995522155787,0.9705208228919086
F000311,2025-09-18T04:34:38.391696,900.1,Power supply fluctuation,Major,COAX,Harmonic CableOS,Silkeborg,Medium,Moderate,176,42,2025-09-18T14:57:30.266450,10.38,False,General,2366.3671515699552,0.7859236635983159
F000312,2025-09-04T07:56:27.285655,300.5,Minor packet loss detected,Minor,FIBER,Cisco ASR9000,Aarhus North,Low,Minimal,34,2,2025-09-04T10:44:48.437944,2.81,True,General,1426.5669084103747,0.401454513058086
F000313,2025-08-31T17:02:27.561102,100.1,Signal level deviation,Minor,FIBER,Nokia 7750,Esbjerg South,Low,Minimal,20,3,2025-08-31T19:50:24.847970,2.8,False,General,1380.1360826831997,0.9014992073970709
F000314,2025-08-01T01:13:20.080642,500.3,Signal level deviation,Minor,COAX,Cisco cBR-8,Aarhus North,Low,Minimal,34,2,2025-08-01T04:03:41.388099,2.84,False,General,1939.308972281743,0.49595555064327934
F000315,2025-09-02T08:28:33.251962,100.1,Routine maintenance alert,Minor,COAX,Casa C100G,Roskilde,Low,Minimal,17,1,2025-09-02T10:22:18.865577,1.9,False,General,1623.128606564557,0.7294744704596423
F000316,2025-09-13T20:33:20.198391,100.1,Routine maintenance alert,Minor,FIBER,Nokia 7750,Roskilde,Low,Minimal,16,3,2025-09-13T23:37:10.670868,3.06,False,General,754.5047091540998,0.8902084234896771
F000317,2025-08-12T09:21:28.297557,150.4,Power supply fluctuation,Major,COAX,Arris E6000,Horsens,Medium,Moderate,216,47,2025-08-12T21:05:39.423215,11.74,True,General,13767.237969378093,0.45596264131428993
F000318,2025-08-13T12:38:12.554180,100.1,Minor packet loss detected,Minor,FIBER,Juniper MX960,Aalborg East,Low,Minimal,27,0,2025-08-13T14:40:10.052821,2.03,False,General,2087.2019384562655,0.2691142569277967
F000319,2025-09-14T09:43:25.276335,400.1,Routine maintenance alert,Minor,FIBER,Huawei MA5800,Aalborg East,Low,Minimal,47,1,2025-09-14T10:27:40.413333,0.74,False,General,2847.5272580528385,0.530600805864209
F000320,2025-09-24T18:05:43.031075,400.1,Low bandwidth utilization,Minor,FIBER,Nokia 7750,Aalborg East,Low,Minimal,10,4,2025-09-24T20:47:28.386339,2.7,True,General,677.4817721902729,0.2543125053847643
F000321,2025-07-08T10:41:38.041660,200.2,Signal level deviation,Minor,FIBER,Cisco ASR9000,Odense West,Low,Minimal,42,4,2025-07-08T12:28:59.381890,1.79,False,General,642.3038142236138,0.9145697618168577
F000322,2025-08-16T17:46:44.454208,200.2,Signal level deviation,Minor,FIBER,Huawei MA5800,Horsens,Low,Minimal,38,5,2025-08-16T20:26:15.194732,2.66,False,General,2934.3571191352817,0.8894505603653045
F000323,2025-09-21T13:51:19.411616,500.3,Low bandwidth utilization,Minor,FIBER,Huawei MA5800,Copenhagen Central,Low,Minimal,36,3,2025-09-21T14:53:09.266265,1.03,True,General,2429.141908638788,0.8839896249011195
F000324,2025-07-24T23:25:25.738856,300.5,Minor packet loss detected,Minor,FIBER,Cisco ASR9000,Aalborg East,Low,Minimal,34,0,2025-07-25T00:41:27.112949,1.27,False,General,1928.7336055273242,0.26246989534395804
F000325,2025-07-11T04:03:26.553606,200.2,Routine maintenance alert,Minor,FIBER,Cisco ASR9000,Roskilde,Low,Minimal,9,4,2025-07-11T07:23:31.186654,3.33,False,General,494.5232867510007,0.7893659347243772
F000326,2025-09-21T10:59:15.476771,700.2,Temperature threshold exceeded,Major,FIBER,Cisco ASR9000,Vejle,Medium,Moderate,186,33,2025-09-21T19:35:10.980527,8.6,False,General,13271.453257515,0.7150903796531741
F000327,2025-08-22T09:51:30.084127,814.2,Cable cut detected,Cable Fault,FIBER,Nokia 7750,Aarhus North,High,Severe,2169,68,2025-08-24T02:39:45.216280,40.8,False,Specialist,71403.51800432871,0.8642597735399008
F000328,2025-07-11T11:46:50.778301,100.1,Low bandwidth utilization,Minor,FIBER,Nokia 7750,Roskilde,Low,Minimal,26,1,2025-07-11T14:02:20.036605,2.26,True,General,1403.9896375817495,0.4944296606235581
F000329,2025-07-13T14:57:56.605641,500.3,Signal level deviation,Minor,FIBER,Cisco ASR9000,Esbjerg South,Low,Minimal,12,5,2025-07-13T16:15:43.405255,1.3,False,General,1037.4164957282228,0.28470226621666395
F000330,2025-09-23T14:10:48.966362,500.3,Signal level deviation,Minor,COAX,Cisco cBR-8,Silkeborg,Low,Minimal,14,1,2025-09-23T14:49:02.630873,0.64,True,General,859.0243310663628,0.35452405615667704
F000331,2025-09-19T22:19:23.995166,800.3,High error rate on interface,Major,COAX,Casa C100G,Aalborg East,Medium,Moderate,430,42,2025-09-20T06:42:21.339284,8.38,False,General,25604.878867877538,0.6580280886422956
F000332,2025-07-29T12:34:48.797089,500.3,Routine maintenance alert,Minor,COAX,Cisco cBR-8,Aarhus North,Low,Minimal,29,5,2025-07-29T14:15:21.763948,1.68,True,General,2602.1441886083803,0.4283034278645651
F000333,2025-07-24T05:55:30.844650,200.2,Low bandwidth utilization,Minor,FIBER,Juniper MX960,Aalborg East,Low,Minimal,31,0,2025-07-24T08:25:12.491520,2.49,False,General,1594.674358468511,0.3233027905960957
F000334,2025-08-11T17:38:31.966563,200.2,Configuration drift,Minor,FIBER,Huawei MA5800,Horsens,Low,Minimal,47,3,2025-08-11T18:51:05.544189,1.21,False,General,2494.589869135107,0.6061828175297109
F000335,2025-07-08T23:22:18.784673,200.2,Configuration drift,Minor,COAX,Casa C100G,Kolding,Low,Minimal,20,4,2025-07-09T00:49:30.760775,1.45,False,General,1993.0242854299104,0.8293572979955429
F000336,2025-07-23T20:02:42.316546,100.1,Configuration drift,Minor,COAX,Harmonic CableOS,Copenhagen Central,Low,Minimal,30,1,2025-07-23T22:54:59.861785,2.87,False,General,2518.58701956305,0.3349053294387949
F000337,2025-07-04T21:49:44.563732,814.2,Aerial cable fault,Cable Fault,FIBER,Nokia 7750,Esbjerg South,High,Severe,4189,172,2025-07-06T14:35:31.149519,40.76,False,Specialist,286975.9954712968,0.9402925287937067
F000338,2025-07-15T17:16:12.442443,400.1,Low bandwidth utilization,Minor,COAX,Arris E6000,Aarhus North,Low,Minimal,18,2,2025-07-15T19:03:13.115456,1.78,False,General,1075.7555938053713,0.3962903629503385
F000339,2025-09-10T03:11:27.593063,700.2,Power supply fluctuation,Major,FIBER,Huawei MA5800,Aalborg East,Medium,Moderate,243,5,2025-09-10T08:38:06.596963,5.44,False,General,8138.9663175742,0.7770787454368782
F000340,2025-08-03T21:41:08.580900,200.2,Configuration drift,Minor,FIBER,Cisco ASR9000,Aalborg East,Low,Minimal,41,1,2025-08-03T23:01:29.669432,1.34,False,General,3732.2989784298074,0.16777236089296566
F000341,2025-09-04T03:28:56.149337,300.5,Configuration drift,Minor,COAX,Harmonic CableOS,Copenhagen Central,Low,Minimal,6,5,2025-09-04T06:48:29.899750,3.33,False,General,429.81633210334337,0.4175808841664461
F000342,2025-07-14T08:17:08.885489,100.1,Minor packet loss detected,Minor,FIBER,Juniper MX960,Roskilde,Low,Minimal,41,1,2025-07-14T11:38:21.426011,3.35,True,General,3411.038078897941,0.5404957436388964
F000343,2025-07-21T00:30:53.885605,300.5,Routine maintenance alert,Minor,COAX,Harmonic CableOS,Esbjerg South,Low,Minimal,7,2,2025-07-21T04:02:47.590475,3.53,False,General,406.41099853108295,0.6777635745452446
F000344,2025-09-26T11:47:55.196001,600.1,Power supply fluctuation,Major,COAX,Cisco cBR-8,Horsens,Medium,Moderate,269,18,2025-09-26T23:38:30.981240,11.84,False,General,6663.433003304686,0.47597077968279966
F000345,2025-07-16T14:58:44.274374,814.2,Underground cable damage,Cable Fault,FIBER,Nokia 7750,Esbjerg South,High,Severe,1806,257,2025-07-18T14:43:54.281826,47.75,False,Specialist,35120.221258753445,0.7230616482807573
F000346,2025-08-09T04:50:36.698825,500.3,Signal level deviation,Minor,COAX,Cisco cBR-8,Aarhus North,Low,Minimal,1,2,2025-08-09T05:22:58.738946,0.54,False,General,60.46809712858065,0.41863196316435425
F000347,2025-09-08T10:19:09.781272,100.1,Configuration drift,Minor,COAX,Arris E6000,Kolding,Low,Minimal,45,2,2025-09-08T13:23:39.748261,3.07,False,General,4396.832112375461,0.5202724711779008
F000348,2025-07-17T12:31:14.701062,800.3,Service degradation detected,Major,FIBER,Nokia 7750,Esbjerg South,Medium,Moderate,449,14,2025-07-17T18:30:41.759047,5.99,False,General,7671.336406851096,0.7208855844402648
F000349,2025-09-29T09:49:06.264274,100.1,Low bandwidth utilization,Minor,FIBER,Cisco ASR9000,Horsens,Low,Minimal,35,3,,3.57,False,General,357.4349493490098,0.7018024464421762
F000350,2025-08-04T14:16:50.736354,700.2,Power supply fluctuation,Major,COAX,Casa C100G,Aarhus North,Medium,Moderate,336,37,2025-08-04T20:16:48.686980,6.0,False,General,28569.925721304917,0.4002374435505535
F000351,2025-09-24T14:13:33.724880,500.3,Low bandwidth utilization,Minor,COAX,Cisco cBR-8,Copenhagen Central,Low,Minimal,34,1,2025-09-24T16:50:54.723729,2.62,True,General,1451.7691681636074,0.7870447726478156
F000352,2025-08-01T02:37:35.418900,816.1,Fiber break in main trunk,Cable Fault,FIBER,Huawei MA5800,Horsens,High,Severe,3588,347,2025-08-03T02:34:22.682131,47.95,True,Specialist,53511.22156822205,0.8589814003616655
F000353,2025-09-22T13:59:22.465999,300.5,Minor packet loss detected,Minor,FIBER,Nokia 7750,Horsens,Low,Minimal,40,5,2025-09-22T16:35:04.466503,2.6,False,General,3838.0772230312405,0.8872440915392364
F000354,2025-08-01T02:36:29.918371,400.1,Minor packet loss detected,Minor,FIBER,Cisco ASR9000,Silkeborg,Low,Minimal,12,3,2025-08-01T04:00:22.747777,1.4,False,General,983.1262824894363,0.34371337903130844
F000355,2025-08-21T15:15:55.261728,400.1,Low bandwidth utilization,Minor,FIBER,Cisco ASR9000,Kolding,Low,Minimal,30,5,2025-08-21T17:30:51.625072,2.25,False,General,2482.358375810158,0.8538678602434085
F000356,2025-09-01T22:08:57.740596,100.1,Low bandwidth utilization,Minor,COAX,Casa C100G,Aarhus North,Low,Minimal,49,0,2025-09-01T23:42:49.900638,1.56,False,General,2787.219310508274,0.5058450257769378
F000357,2025-08-02T05:37:50.672262,300.5,Low bandwidth utilization,Minor,COAX,Arris E6000,Kolding,Low,Minimal,31,5,2025-08-02T06:55:36.658008,1.3,True,General,1711.2570379930214,0.44560066569670964
F000358,2025-07-01T13:43:55.878851,815.5,Underground cable damage,Cable Fault,FIBER,Nokia 7750,Copenhagen Central,High,Severe,1015,434,2025-07-02T18:59:43.773412,29.26,True,Specialist,83763.5905677225,0.9982467704510882
F000359,2025-09-21T03:00:58.872393,700.2,Multiple customer complaints,Major,FIBER,Cisco ASR9000,Horsens,Medium,Moderate,361,39,2025-09-21T10:27:34.325526,7.44,False,General,31568.857184888555,0.6354215890823334
F000360,2025-08-29T03:49:17.207550,300.5,Routine maintenance alert,Minor,FIBER,Juniper MX960,Aarhus North,Low,Minimal,34,0,2025-08-29T06:52:46.213240,3.06,True,General,2509.5281017051057,0.9355658872580481
F000361,2025-08-29T13:44:46.539396,200.2,Minor packet loss detected,Minor,FIBER,Cisco ASR9000,Aarhus North,Low,Minimal,39,2,2025-08-29T17:08:19.626451,3.39,False,General,2897.5649149059323,0.14561005318650574
F000362,2025-08-03T18:02:06.039538,816.1,Aerial cable fault,Cable Fault,FIBER,Cisco ASR9000,Esbjerg South,High,Severe,4523,495,2025-08-04T17:40:45.467198,23.64,False,Specialist,446469.4461652809,0.9558583274223226
F000363,2025-08-17T03:18:13.580053,100.1,Routine maintenance alert,Minor,FIBER,Cisco ASR9000,Roskilde,Low,Minimal,20,4,2025-08-17T06:52:02.751517,3.56,True,General,398.52902197975567,0.6100412621859646
F000364,2025-09-12T18:56:43.397229,150.4,High error rate on interface,Major,COAX,Harmonic CableOS,Roskilde,Medium,Moderate,396,20,2025-09-13T03:29:32.750012,8.55,True,General,30684.131763660273,0.7900472157983893
F000365,2025-07-14T01:14:01.953327,200.2,Configuration drift,Minor,FIBER,Huawei MA5800,Odense West,Low,Minimal,21,3,2025-07-14T02:15:36.786021,1.03,False,General,1046.4869765108797,0.16332765503831748
F000366,2025-09-20T04:27:12.504454,200.2,Minor packet loss detected,Minor,COAX,Harmonic CableOS,Aalborg East,Low,Minimal,14,2,2025-09-20T07:55:12.919427,3.47,True,General,285.92602037071435,0.22052394384654603
F000367,2025-09-26T20:37:01.392284,700.2,Multiple customer complaints,Major,COAX,Cisco cBR-8,Esbjerg South,Medium,Moderate,66,11,2025-09-27T00:37:25.554736,4.01,False,General,1691.6206071985266,0.6785193602733097
F000368,2025-08-28T22:35:42.576321,300.5,Configuration drift,Minor,FIBER,Huawei MA5800,Vejle,Low,Minimal,27,0,2025-08-28T23:37:51.719386,1.04,False,General,2110.413979679096,0.9872081780296951
F000369,2025-08-20T19:49:25.695662,100.1,Routine maintenance alert,Minor,FIBER,Juniper MX960,Odense West,Low,Minimal,36,1,2025-08-20T21:09:34.674066,1.34,False,General,2565.834658527819,0.17712182011612765
F000370,2025-08-19T17:05:21.735704,100.1,Signal level deviation,Minor,FIBER,Cisco ASR9000,Copenhagen Central,Low,Minimal,12,2,2025-08-19T17:46:55.158516,0.69,True,General,657.8115770630177,0.9793562763851018
F000371,2025-07-23T12:28:05.417039,150.4,Multiple customer complaints,Major,COAX,Cisco cBR-8,Aarhus North,Medium,Moderate,189,7,2025-07-23T22:26:28.175261,9.97,True,General,8035.972256154862,0.7487126596703058
F000372,2025-09-01T16:43:49.221339,300.5,Signal level deviation,Minor,COAX,Cisco cBR-8,Roskilde,Low,Minimal,11,1,2025-09-01T17:40:47.771224,0.95,True,General,231.72536740338126,0.4141786884244518
F000373,2025-07-26T09:56:36.155940,200.2,Low bandwidth utilization,Minor,COAX,Arris E6000,Vejle,Low,Minimal,35,4,2025-07-26T13:22:56.429632,3.44,False,General,429.04353157513657,0.7412451127404505
F000374,2025-07-01T20:53:16.585721,700.2,Multiple customer complaints,Major,FIBER,Juniper MX960,Vejle,Medium,Moderate,296,42,2025-07-02T05:29:17.072601,8.6,True,General,21333.05495233615,0.6913260607086626
F000375,2025-07-09T03:04:46.662442,150.4,Service degradation detected,Major,FIBER,Cisco ASR9000,Copenhagen Central,Medium,Moderate,65,37,2025-07-09T14:02:30.025709,10.96,False,General,3537.628748987414,0.7365332712442838
F000376,2025-07-23T04:08:43.290314,500.3,Configuration drift,Minor,FIBER,Huawei MA5800,Odense West,Low,Minimal,7,3,2025-07-23T05:00:30.688407,0.86,True,General,157.33988088973646,0.17442153823250411
F000377,2025-07-18T21:02:53.413981,812.3,Fiber break in main trunk,Cable Fault,COAX,Cisco cBR-8,Esbjerg South,High,Severe,4000,317,2025-07-19T22:00:18.077810,24.96,False,Specialist,346334.52954285516,0.7321964815567975
F000378,2025-08-21T23:43:02.834267,400.1,Routine maintenance alert,Minor,FIBER,Juniper MX960,Aarhus North,Low,Minimal,8,5,2025-08-22T01:38:19.731260,1.92,False,General,794.5780363027094,0.3677120838736515
F000379,2025-07-28T15:33:17.950621,500.3,Configuration drift,Minor,COAX,Harmonic CableOS,Esbjerg South,Low,Minimal,33,4,2025-07-28T19:25:12.592304,3.87,True,General,1863.717783839007,0.6655181257501742
